PHP Load Test Started
Concurrent Users: 100
Total Requests: 5000

Round 5 | User #37 | HTTP: 200 | Time: 134.67ms
Round 5 | User #38 | HTTP: 200 | Time: 134.84ms
Round 5 | User #39 | HTTP: 200 | Time: 135.03ms
Round 5 | User #40 | HTTP: 200 | Time: 135.2ms
Round 5 | User #41 | HTTP: 200 | Time: 135.35ms
Round 5 | User #42 | HTTP: 200 | Time: 135.54ms
Round 5 | User #43 | HTTP: 200 | Time: 135.73ms
Round 5 | User #44 | HTTP: 200 | Time: 135.88ms
Round 5 | User #45 | HTTP: 200 | Time: 136.08ms
Round 5 | User #46 | HTTP: 200 | Time: 136.28ms
Round 5 | User #47 | HTTP: 200 | Time: 136.48ms
Round 5 | User #48 | HTTP: 200 | Time: 136.67ms
Round 5 | User #49 | HTTP: 200 | Time: 136.83ms
Round 5 | User #50 | HTTP: 200 | Time: 136.97ms
Round 5 | User #51 | HTTP: 200 | Time: 137.21ms
Round 5 | User #52 | HTTP: 200 | Time: 137.41ms
Round 5 | User #53 | HTTP: 200 | Time: 137.55ms
Round 5 | User #54 | HTTP: 200 | Time: 137.7ms
Round 5 | User #55 | HTTP: 200 | Time: 137.83ms
Round 5 | User #56 | HTTP: 200 | Time: 137.97ms
Round 5 | User #57 | HTTP: 200 | Time: 138.15ms
Round 5 | User #58 | HTTP: 200 | Time: 138.31ms
Round 5 | User #59 | HTTP: 200 | Time: 138.45ms
Round 5 | User #60 | HTTP: 200 | Time: 138.59ms
Round 5 | User #61 | HTTP: 200 | Time: 138.73ms
